age,gender,country,daily_screen_hours,primary_device,top_platform,creativity_score,collaboration_score
19,Non-binary,Germany,7.5,Tablet,Discord,9,9
18,Female,Mexico,4.6,Desktop,YouTube,5,5
15,Non-binary,Indonesia,8.3,Desktop,ChatGPT,9,9
14,Female,USA,4.1,Smartphone,Khan Academy,10,7
13,Male,USA,5.2,Desktop,Instagram,3,10
13,Male,Brazil,10.6,Tablet,Discord,6,7
18,Non-binary,USA,7.9,TV,YouTube,8,3
14,Female,Australia,0.5,Laptop,WhatsApp,9,10
18,Male,Australia,9.7,Laptop,Instagram,6,7
16,Non-binary,Canada,7.1,Tablet,ChatGPT,6,10
15,Male,India,7.9,Laptop,Roblox,4,9
17,Male,Mexico,4.1,TV,Roblox,10,3
18,Male,Japan,8.0,TV,Khan Academy,7,9
17,Male,Australia,5.5,TV,Roblox,9,5
18,Non-binary,USA,10.2,TV,YouTube,6,5
15,Non-binary,Mexico,4.2,Laptop,Roblox,9,4
15,Male,USA,10.2,Desktop,Khan Academy,9,10
14,Female,Brazil,3.1,Smartphone,Roblox,9,8
18,Female,Brazil,5.4,TV,YouTube,3,7
13,Non-binary,UK,3.8,TV,Roblox,4,4
17,Non-binary,Brazil,8.7,TV,Instagram,10,7
19,Male,UK,7.1,Laptop,Snapchat,4,9
14,Male,India,2.9,Tablet,Instagram,10,8
14,Male,India,7.6,TV,YouTube,4,9
18,Female,Canada,3.8,Smartphone,ChatGPT,3,3
19,Female,Brazil,7.4,Laptop,Discord,4,3
16,Male,India,4.6,Tablet,Discord,4,6
13,Non-binary,UK,5.4,Desktop,TikTok,8,8
17,Non-binary,Brazil,4.8,Desktop,Discord,9,9
13,Male,Brazil,7.0,Smartphone,Netflix,8,3
16,Male,Canada,6.7,Laptop,TikTok,7,8
13,Male,Brazil,2.3,TV,TikTok,5,7
13,Non-binary,Germany,7.5,TV,Instagram,8,5
18,Non-binary,Germany,8.7,Smartphone,Khan Academy,3,10
16,Non-binary,Brazil,5.1,Desktop,ChatGPT,3,6
13,Non-binary,USA,4.2,Laptop,ChatGPT,4,3
14,Female,Canada,8.9,Tablet,Discord,5,9
14,Non-binary,India,5.8,TV,Khan Academy,5,7
15,Non-binary,India,9.0,Desktop,Netflix,7,3
14,Non-binary,Germany,4.7,Smartphone,Discord,6,9
17,Female,UK,6.7,TV,YouTube,4,10
13,Male,India,4.7,Laptop,Instagram,4,5
17,Non-binary,Brazil,4.6,Laptop,WhatsApp,4,9
18,Female,Japan,6.2,TV,Instagram,6,7
15,Non-binary,Canada,6.8,Laptop,Snapchat,10,4
15,Female,Australia,6.7,Desktop,ChatGPT,9,5
19,Female,India,7.6,TV,Netflix,4,7
17,Non-binary,UK,4.2,TV,Roblox,7,10
15,Female,Mexico,5.1,Desktop,Roblox,4,8
14,Non-binary,Canada,7.1,Smartphone,YouTube,8,10
16,Female,Australia,10.1,Tablet,Netflix,10,7
18,Non-binary,USA,5.0,Smartphone,Netflix,5,6
19,Female,Japan,5.8,Tablet,WhatsApp,10,8
18,Male,Australia,8.7,Laptop,Roblox,3,8
18,Non-binary,India,3.9,Laptop,Snapchat,10,5
15,Male,Indonesia,2.6,Laptop,YouTube,4,4
18,Non-binary,Australia,4.0,TV,ChatGPT,4,6
16,Male,Australia,5.5,Desktop,Netflix,7,9
19,Non-binary,USA,7.4,Smartphone,ChatGPT,8,5
15,Non-binary,Brazil,7.5,Tablet,YouTube,5,10
13,Male,USA,4.6,TV,WhatsApp,9,7
18,Female,UK,6.1,Laptop,Discord,10,5
17,Male,Canada,6.8,Desktop,Discord,5,6
13,Non-binary,UK,6.0,TV,Roblox,4,5
13,Female,USA,4.2,TV,TikTok,7,4
15,Male,Indonesia,5.7,Smartphone,YouTube,3,7
19,Male,Indonesia,8.0,Smartphone,TikTok,6,3
16,Non-binary,Mexico,9.2,TV,Roblox,8,9
15,Female,Germany,5.2,Tablet,Discord,8,9
16,Non-binary,India,9.9,Smartphone,YouTube,10,9
18,Male,India,4.8,Desktop,TikTok,7,6
15,Female,Indonesia,3.8,Desktop,Netflix,6,3
18,Female,India,1.4,Tablet,YouTube,8,10
14,Non-binary,Canada,3.0,Smartphone,Khan Academy,9,10
18,Non-binary,USA,7.3,TV,Snapchat,6,5
19,Non-binary,Indonesia,6.3,Smartphone,Instagram,10,4
15,Non-binary,Mexico,2.1,TV,Instagram,10,4
16,Non-binary,Mexico,5.6,Smartphone,TikTok,9,3
14,Female,Australia,7.0,Tablet,Discord,7,10
18,Male,UK,8.3,TV,TikTok,8,6
17,Non-binary,USA,4.0,Tablet,Netflix,9,9
19,Male,Brazil,5.4,Smartphone,TikTok,8,6
18,Male,Indonesia,7.3,Tablet,Instagram,8,9
17,Non-binary,India,4.4,Laptop,Netflix,9,8
19,Female,UK,8.2,Desktop,ChatGPT,6,4
16,Male,Mexico,6.6,Tablet,Discord,10,10
14,Non-binary,Japan,4.0,Laptop,YouTube,8,7
17,Non-binary,USA,4.9,Desktop,Roblox,6,10
15,Non-binary,Australia,9.7,Smartphone,Khan Academy,5,6
19,Non-binary,Brazil,5.3,Laptop,Roblox,9,7
19,Non-binary,UK,4.8,Smartphone,WhatsApp,9,8
16,Non-binary,Canada,9.2,TV,TikTok,7,7
18,Male,Mexico,5.3,TV,TikTok,5,8
19,Non-binary,India,7.5,TV,Instagram,5,10
18,Female,Japan,2.7,Laptop,Discord,6,6
18,Non-binary,India,2.7,Smartphone,Instagram,9,9
18,Male,India,8.8,Smartphone,Khan Academy,10,5
13,Male,Mexico,3.8,Laptop,Netflix,6,3
13,Male,Australia,3.1,TV,Snapchat,5,9
19,Non-binary,USA,6.3,TV,Snapchat,10,8
13,Male,USA,1.2,Smartphone,TikTok,10,6
13,Non-binary,Indonesia,8.0,Smartphone,ChatGPT,5,9
16,Non-binary,Australia,5.3,Tablet,ChatGPT,5,4
15,Male,Mexico,7.1,Smartphone,Netflix,10,4
17,Non-binary,Mexico,9.2,Smartphone,Discord,4,5
19,Non-binary,UK,7.9,Tablet,TikTok,3,5
17,Male,UK,5.6,Smartphone,WhatsApp,7,3
13,Male,Mexico,3.8,Laptop,Netflix,3,6
15,Male,Mexico,11.0,Tablet,WhatsApp,10,5
17,Female,Germany,0.5,Tablet,ChatGPT,6,4
18,Male,Brazil,4.6,Smartphone,Discord,5,7
19,Male,UK,4.3,Tablet,Snapchat,5,9
13,Non-binary,Japan,4.6,Tablet,Netflix,5,9
16,Male,Japan,3.2,Laptop,WhatsApp,6,4
18,Non-binary,Japan,0.8,Laptop,Khan Academy,5,9
19,Male,Germany,7.8,Smartphone,ChatGPT,6,4
15,Male,Mexico,5.4,Smartphone,WhatsApp,9,4
15,Non-binary,USA,4.2,Tablet,Instagram,6,7
13,Male,Australia,7.0,Laptop,Netflix,4,4
14,Non-binary,Japan,2.1,Smartphone,WhatsApp,8,7
17,Female,Indonesia,3.4,Smartphone,YouTube,5,8
19,Female,UK,3.5,Desktop,WhatsApp,9,10
17,Male,Japan,8.5,Smartphone,WhatsApp,5,5
14,Female,Indonesia,5.4,Tablet,Discord,9,10
14,Female,Germany,4.8,TV,WhatsApp,7,7
16,Non-binary,Brazil,4.0,Tablet,Netflix,8,4
18,Male,USA,9.6,Laptop,TikTok,5,3
13,Non-binary,Japan,3.1,Smartphone,Netflix,5,10
16,Non-binary,Mexico,4.6,Smartphone,Netflix,3,6
19,Non-binary,India,4.7,Tablet,Discord,3,10
14,Non-binary,Mexico,2.2,Laptop,Instagram,4,8
19,Male,Mexico,5.1,TV,Netflix,5,8
13,Female,Brazil,6.1,Desktop,TikTok,7,7
16,Female,Japan,6.3,Desktop,Netflix,6,7
18,Non-binary,India,9.0,TV,ChatGPT,10,3
15,Male,Indonesia,3.7,Smartphone,YouTube,8,5
16,Female,India,6.0,Smartphone,Netflix,10,6
13,Non-binary,Mexico,7.3,TV,YouTube,5,7
14,Female,Australia,4.2,Tablet,Snapchat,8,9
14,Non-binary,Japan,7.3,TV,Instagram,5,8
18,Female,India,7.0,Tablet,Discord,4,6
15,Male,UK,2.6,Smartphone,Instagram,6,10
18,Female,USA,7.7,TV,Roblox,10,5
15,Female,Mexico,5.0,TV,Instagram,4,4
19,Male,UK,1.9,Laptop,Khan Academy,3,6
13,Non-binary,Germany,2.8,Smartphone,Netflix,10,7
15,Female,USA,6.8,TV,Discord,5,5
14,Female,USA,10.1,Laptop,Netflix,6,10
18,Male,Mexico,0.5,Desktop,Instagram,6,5
14,Male,UK,4.1,Laptop,Instagram,9,3
17,Male,USA,6.5,Smartphone,Netflix,9,7
18,Non-binary,Brazil,5.9,Smartphone,WhatsApp,9,3
15,Male,Japan,7.8,Tablet,Snapchat,8,9
14,Female,India,5.5,Tablet,Discord,7,10
15,Non-binary,USA,5.6,TV,Instagram,7,10
15,Female,Japan,8.0,Desktop,Instagram,8,8
18,Female,Indonesia,7.6,Desktop,ChatGPT,8,6
18,Female,Brazil,4.7,Smartphone,Instagram,4,3
17,Non-binary,Brazil,5.0,Laptop,Roblox,4,4
17,Non-binary,Germany,4.7,Laptop,WhatsApp,5,3
14,Male,Australia,7.9,Desktop,Snapchat,8,8
16,Non-binary,USA,6.2,TV,WhatsApp,3,5
17,Female,UK,5.1,Tablet,YouTube,3,6
18,Female,Canada,3.7,Smartphone,Instagram,10,9
17,Female,Australia,1.4,Desktop,Snapchat,6,5
13,Male,Indonesia,6.2,Desktop,Roblox,7,7
19,Male,Japan,8.8,Tablet,WhatsApp,4,5
14,Male,Mexico,5.5,Laptop,Snapchat,5,7
19,Male,Brazil,6.1,Laptop,WhatsApp,4,3
18,Female,Indonesia,7.4,Desktop,Snapchat,5,9
17,Female,Germany,5.2,Smartphone,YouTube,8,6
18,Female,UK,5.5,Desktop,TikTok,9,7
19,Non-binary,Indonesia,5.9,Desktop,Discord,10,6
15,Female,Brazil,2.0,TV,Instagram,10,6
18,Non-binary,Australia,3.5,Tablet,Instagram,10,4
16,Male,Canada,7.2,Laptop,ChatGPT,10,5
18,Female,India,9.5,Tablet,Instagram,5,9
18,Non-binary,Brazil,6.3,Laptop,Roblox,9,4
18,Non-binary,UK,5.9,Smartphone,ChatGPT,4,9
16,Male,USA,7.2,Smartphone,Instagram,6,4
15,Male,Indonesia,2.2,Smartphone,YouTube,4,8
19,Non-binary,USA,6.2,Desktop,Roblox,5,7
15,Female,UK,7.9,Laptop,YouTube,7,4
13,Male,USA,4.5,TV,Instagram,3,6
13,Male,Australia,5.2,TV,Instagram,8,7
14,Non-binary,Australia,4.2,Smartphone,Roblox,5,4
14,Male,Japan,2.3,Tablet,TikTok,8,4
15,Male,India,4.4,Desktop,Khan Academy,5,9
14,Non-binary,Japan,4.7,Desktop,Snapchat,8,4
15,Female,Germany,9.2,Smartphone,YouTube,5,5
15,Male,Australia,3.9,TV,Roblox,4,4
17,Female,Japan,6.7,Laptop,Instagram,9,8
15,Female,Australia,7.0,TV,Netflix,8,5
19,Non-binary,Brazil,3.4,Desktop,WhatsApp,10,6
16,Male,Indonesia,7.4,TV,WhatsApp,6,4
14,Female,India,6.7,Tablet,WhatsApp,10,5
13,Male,Germany,9.6,Tablet,Instagram,7,10
14,Non-binary,Australia,5.7,Smartphone,Instagram,4,5
16,Non-binary,India,9.6,TV,Khan Academy,3,4
18,Non-binary,USA,2.6,Laptop,YouTube,5,8
14,Male,Brazil,5.9,Smartphone,YouTube,9,5
19,Male,Canada,5.4,Tablet,Roblox,9,8
16,Non-binary,India,1.8,Tablet,TikTok,5,3
18,Male,Indonesia,5.5,Smartphone,Netflix,9,10
17,Non-binary,Japan,2.9,Desktop,WhatsApp,7,6
16,Male,Japan,8.1,Laptop,Discord,9,3
14,Female,UK,5.1,Desktop,ChatGPT,4,10
16,Female,Australia,6.1,Tablet,Netflix,6,7
13,Male,USA,4.3,Tablet,ChatGPT,8,3
14,Female,UK,4.7,Desktop,YouTube,7,6
17,Male,India,5.3,Laptop,Snapchat,4,3
17,Female,India,6.4,Tablet,YouTube,8,7
16,Non-binary,Brazil,5.8,Tablet,Netflix,8,5
18,Non-binary,USA,3.2,Desktop,TikTok,5,3
17,Female,Canada,9.6,Desktop,YouTube,7,5
14,Non-binary,Canada,8.2,Laptop,Discord,5,5
17,Non-binary,Indonesia,7.0,Desktop,Khan Academy,10,5
15,Female,Germany,1.8,Smartphone,Netflix,6,6
17,Non-binary,USA,1.8,Laptop,ChatGPT,10,4
19,Male,UK,5.7,Smartphone,Roblox,4,10
15,Male,Japan,3.6,Laptop,TikTok,7,8
15,Male,USA,7.1,Tablet,Roblox,7,10
18,Male,USA,8.9,Desktop,Roblox,3,8
19,Female,Australia,2.9,Laptop,Roblox,8,8
15,Male,Australia,7.2,Desktop,Roblox,7,3
17,Non-binary,India,5.4,Desktop,YouTube,5,4
15,Female,UK,3.9,Desktop,Netflix,4,6
16,Female,USA,4.1,Desktop,Roblox,4,4
14,Non-binary,USA,7.5,TV,Netflix,6,9
15,Male,Germany,3.9,Laptop,Roblox,4,7
16,Male,Mexico,8.0,Laptop,Roblox,5,6
15,Non-binary,India,9.3,Smartphone,Khan Academy,9,10
14,Male,Brazil,5.2,Smartphone,Netflix,7,7
18,Male,USA,6.6,Smartphone,Snapchat,10,9
17,Male,Japan,6.9,Laptop,YouTube,4,9
15,Female,UK,7.2,TV,Roblox,5,9
15,Non-binary,Indonesia,10.5,TV,YouTube,6,4
18,Non-binary,Indonesia,4.1,Tablet,YouTube,5,10
14,Female,Germany,4.2,Smartphone,Netflix,7,3
16,Male,Canada,3.6,Smartphone,Discord,6,9
18,Non-binary,UK,3.3,Desktop,Netflix,6,8
14,Male,Indonesia,7.5,Tablet,YouTube,7,7
17,Male,Canada,4.9,TV,Netflix,9,8
15,Non-binary,Australia,1.8,Smartphone,Instagram,10,9
15,Male,Mexico,5.0,Desktop,Instagram,9,9
15,Non-binary,Australia,3.2,Smartphone,TikTok,4,4
18,Male,Indonesia,2.9,TV,TikTok,10,4
18,Female,Mexico,5.0,Tablet,Netflix,6,6
19,Female,Mexico,5.2,TV,TikTok,6,10
13,Female,Canada,2.0,TV,YouTube,8,6
17,Female,Japan,7.6,Tablet,Snapchat,9,6
13,Female,India,6.8,Tablet,WhatsApp,8,8
14,Non-binary,Australia,5.6,Laptop,WhatsApp,9,6
17,Non-binary,Australia,7.4,Desktop,Netflix,5,9
18,Male,Australia,2.0,Tablet,WhatsApp,5,9
14,Male,UK,2.4,TV,Snapchat,5,8
14,Male,USA,5.4,Smartphone,Netflix,3,5
13,Non-binary,Mexico,6.3,TV,YouTube,5,10
18,Non-binary,Germany,5.1,Laptop,Discord,6,7
14,Non-binary,Brazil,4.9,TV,Snapchat,3,7
13,Male,India,1.6,Desktop,TikTok,4,10
17,Male,USA,6.6,Laptop,TikTok,4,10
19,Female,Brazil,6.8,TV,TikTok,10,3
16,Male,Canada,6.3,TV,Netflix,8,10
19,Male,UK,5.3,Tablet,YouTube,5,3
13,Female,Germany,2.5,Desktop,YouTube,5,7
13,Male,Indonesia,5.8,Smartphone,WhatsApp,3,5
14,Female,USA,5.9,Laptop,Discord,4,5
15,Female,Canada,5.2,Laptop,TikTok,8,7
16,Non-binary,Canada,0.6,Laptop,Snapchat,5,6
18,Non-binary,Japan,7.6,TV,TikTok,7,5
19,Male,Canada,3.3,Desktop,Snapchat,8,4
17,Female,Australia,6.5,Laptop,ChatGPT,8,8
18,Male,Canada,5.8,Desktop,Snapchat,9,7
17,Non-binary,Mexico,6.0,Tablet,Netflix,3,4
14,Female,Australia,6.0,Smartphone,Discord,8,8
14,Female,USA,3.5,Smartphone,Khan Academy,3,8
14,Female,Indonesia,6.8,Desktop,TikTok,9,7
17,Male,Mexico,1.0,Laptop,TikTok,7,4
17,Non-binary,Australia,4.5,Tablet,Discord,6,3
19,Female,Canada,3.4,Smartphone,Snapchat,9,4
13,Female,UK,3.1,Laptop,ChatGPT,3,7
13,Non-binary,Indonesia,3.7,Smartphone,Roblox,7,5
19,Female,India,9.4,Smartphone,Khan Academy,3,4
16,Male,Australia,2.5,Tablet,Snapchat,8,8
16,Male,Mexico,5.9,Smartphone,Netflix,7,10
16,Non-binary,USA,3.0,Tablet,ChatGPT,4,3
14,Male,India,10.0,TV,Discord,5,4
14,Non-binary,Germany,10.8,Desktop,YouTube,3,7
19,Male,USA,7.3,Tablet,Khan Academy,9,7
18,Male,UK,6.1,Desktop,Roblox,4,5
15,Male,Indonesia,9.9,TV,Roblox,4,6
17,Female,Canada,1.8,Tablet,Khan Academy,10,6
13,Female,Japan,5.0,Laptop,Discord,4,4
16,Male,Brazil,3.5,Smartphone,Discord,10,9
14,Female,USA,3.3,Desktop,WhatsApp,8,7
18,Female,UK,8.9,Desktop,TikTok,5,6
15,Female,Canada,7.3,TV,Discord,4,7
16,Male,Japan,3.6,Desktop,TikTok,5,10
13,Non-binary,USA,5.8,Laptop,Snapchat,3,10
18,Non-binary,Canada,10.2,Tablet,Snapchat,4,4
15,Female,Brazil,7.0,Desktop,Khan Academy,3,10
15,Female,USA,7.6,Smartphone,Netflix,9,6
15,Male,Australia,6.3,Desktop,Roblox,9,4
18,Male,Brazil,7.1,Smartphone,Discord,4,3
13,Non-binary,Japan,5.7,Tablet,Discord,9,9
16,Male,Brazil,8.2,Tablet,Roblox,6,5
19,Male,Germany,3.3,Tablet,YouTube,4,5
17,Non-binary,Indonesia,2.9,TV,Snapchat,6,5
15,Non-binary,USA,6.5,TV,Instagram,3,10
16,Female,India,7.2,Laptop,Snapchat,4,5
18,Male,Indonesia,4.0,Smartphone,Roblox,6,10
13,Male,India,7.5,Desktop,Snapchat,6,5
19,Male,USA,8.7,Tablet,Roblox,10,8
17,Female,Canada,7.8,Tablet,Khan Academy,10,3
19,Female,Japan,4.4,Desktop,Roblox,4,7
18,Non-binary,India,1.0,Laptop,Netflix,6,5
15,Female,India,5.6,TV,Khan Academy,6,4
14,Female,USA,9.1,Tablet,WhatsApp,10,5
15,Non-binary,Germany,7.2,TV,Snapchat,7,6
13,Non-binary,Mexico,4.1,Tablet,ChatGPT,4,9
19,Female,Indonesia,9.3,Tablet,TikTok,3,10
18,Male,Canada,4.7,Laptop,WhatsApp,7,5
15,Female,Japan,7.2,TV,YouTube,6,7
19,Non-binary,USA,6.2,Smartphone,Roblox,7,3
16,Female,India,6.6,Tablet,WhatsApp,5,4
18,Female,UK,5.9,Laptop,Netflix,4,7
14,Male,Canada,7.0,TV,Netflix,9,4
15,Female,Indonesia,4.8,Tablet,Instagram,9,8
19,Non-binary,UK,4.9,Laptop,Netflix,6,7
15,Male,Japan,4.2,Desktop,Roblox,5,9
19,Female,USA,7.0,Tablet,WhatsApp,8,10
15,Female,Canada,7.3,TV,Netflix,10,3
17,Male,Australia,6.5,Tablet,Discord,8,5
17,Non-binary,Indonesia,6.1,Tablet,YouTube,9,5
16,Non-binary,India,1.9,Desktop,Roblox,3,4
13,Female,USA,6.4,Tablet,ChatGPT,4,7
17,Female,Germany,6.2,Desktop,WhatsApp,3,6
17,Male,Mexico,4.7,TV,Instagram,6,5
15,Non-binary,Japan,4.5,TV,ChatGPT,6,4
13,Male,UK,0.5,Desktop,TikTok,4,6
14,Male,Canada,8.1,TV,YouTube,4,7
16,Female,UK,5.9,Laptop,WhatsApp,7,10
19,Non-binary,Indonesia,6.4,Smartphone,Instagram,5,6
14,Non-binary,Mexico,6.4,Laptop,Roblox,10,7
15,Non-binary,USA,8.0,Tablet,Netflix,9,4
16,Female,Australia,4.8,Laptop,YouTube,7,10
13,Non-binary,Australia,7.4,Desktop,Roblox,3,8
14,Female,Canada,5.6,Tablet,YouTube,5,8
17,Non-binary,Brazil,3.5,TV,WhatsApp,4,5
18,Male,Germany,8.3,Desktop,Khan Academy,10,5
15,Non-binary,Japan,6.2,TV,Netflix,10,5
17,Non-binary,Mexico,5.1,Desktop,Snapchat,5,8
17,Non-binary,Germany,1.9,Smartphone,YouTube,3,5
14,Male,USA,3.4,TV,Roblox,8,6
19,Non-binary,Brazil,9.1,TV,Netflix,4,3
17,Female,USA,8.3,Smartphone,TikTok,10,8
17,Non-binary,India,7.2,TV,Netflix,5,6
14,Female,Canada,4.6,TV,Snapchat,6,6
18,Male,Australia,7.1,Laptop,TikTok,3,4
14,Male,UK,1.8,Smartphone,Khan Academy,9,4
15,Male,Mexico,1.3,Desktop,Roblox,8,8
17,Non-binary,UK,5.6,Smartphone,Roblox,9,9
19,Male,Indonesia,8.9,Tablet,TikTok,4,10
14,Male,Indonesia,7.3,Desktop,Khan Academy,3,6
19,Female,Japan,3.9,Laptop,Snapchat,4,6
19,Non-binary,Indonesia,6.8,Desktop,Snapchat,9,3
17,Non-binary,USA,1.0,Tablet,YouTube,3,8
16,Female,Brazil,2.9,Tablet,YouTube,5,6
17,Non-binary,Germany,8.4,Smartphone,Discord,10,4
19,Non-binary,Indonesia,4.0,Smartphone,Khan Academy,4,9
17,Non-binary,Indonesia,9.7,TV,Instagram,7,3
13,Male,Canada,3.5,Desktop,Discord,8,9
16,Female,Brazil,6.2,Laptop,WhatsApp,9,3
17,Female,India,5.6,TV,Netflix,5,9
18,Female,Mexico,7.0,Desktop,Khan Academy,8,6
15,Female,India,7.3,Laptop,Discord,4,3
14,Female,Mexico,0.5,Smartphone,Discord,3,4
13,Male,Canada,2.7,Laptop,Snapchat,3,8
15,Non-binary,Brazil,6.7,TV,Roblox,4,4
13,Female,Mexico,5.5,Laptop,Roblox,8,6
16,Non-binary,Japan,9.1,Tablet,Discord,7,8
18,Non-binary,Mexico,4.1,Smartphone,YouTube,8,9
18,Non-binary,Canada,5.2,Laptop,WhatsApp,6,7
18,Non-binary,Brazil,7.0,Smartphone,Khan Academy,5,3
14,Non-binary,Canada,4.1,Smartphone,YouTube,10,3
15,Female,Indonesia,3.5,TV,Snapchat,4,3
15,Non-binary,Australia,1.1,TV,Roblox,3,6
14,Female,UK,5.6,TV,WhatsApp,3,7
13,Non-binary,Germany,10.0,Tablet,Snapchat,6,3
15,Non-binary,Indonesia,3.6,TV,Netflix,3,4
17,Female,Japan,8.8,TV,Netflix,7,5
16,Female,Brazil,1.5,Laptop,YouTube,7,7
13,Male,Mexico,4.7,Smartphone,ChatGPT,7,8
15,Non-binary,Japan,8.2,Desktop,YouTube,4,7
17,Non-binary,Germany,7.7,TV,Roblox,3,10
13,Female,India,1.8,Tablet,Roblox,6,9
13,Non-binary,USA,5.0,Tablet,TikTok,10,5
15,Female,Japan,8.5,TV,Instagram,6,5
14,Non-binary,India,5.8,Laptop,WhatsApp,10,8
13,Non-binary,Brazil,8.7,Smartphone,Snapchat,7,3
18,Female,Mexico,4.9,Tablet,TikTok,4,10
13,Non-binary,USA,2.6,Laptop,Discord,8,8
19,Non-binary,Australia,7.6,Tablet,Instagram,3,8
17,Female,Germany,6.5,TV,Khan Academy,10,7
17,Male,UK,4.3,Laptop,ChatGPT,3,4
17,Male,Germany,6.8,Desktop,WhatsApp,8,6
16,Non-binary,India,4.8,Smartphone,TikTok,6,9
17,Non-binary,USA,4.5,Desktop,YouTube,10,10
15,Female,Brazil,6.4,Laptop,Khan Academy,6,8
14,Female,Germany,3.9,Smartphone,Discord,10,9
15,Male,Germany,4.7,Tablet,Roblox,6,10
19,Female,Brazil,5.2,Desktop,Instagram,6,9
18,Non-binary,UK,2.4,Tablet,Khan Academy,4,4
16,Female,Mexico,3.1,Laptop,ChatGPT,10,6
14,Female,India,6.6,Desktop,Roblox,4,5
19,Male,Australia,7.5,Smartphone,Instagram,4,5
17,Non-binary,Australia,7.2,TV,WhatsApp,6,7
13,Female,Germany,4.3,Desktop,ChatGPT,4,3
13,Non-binary,Germany,10.1,TV,Netflix,7,10
18,Male,UK,4.0,Desktop,WhatsApp,4,5
13,Non-binary,Indonesia,3.3,TV,Khan Academy,10,5
17,Non-binary,Indonesia,7.8,Tablet,TikTok,6,7
16,Female,India,1.2,Desktop,WhatsApp,9,7
15,Female,Germany,3.7,Laptop,Instagram,3,6
16,Non-binary,Japan,2.8,Smartphone,Khan Academy,7,5
13,Female,Japan,4.1,TV,Roblox,6,5
15,Female,Indonesia,5.6,Tablet,Instagram,4,6
17,Non-binary,UK,0.5,Smartphone,ChatGPT,3,6
13,Female,India,4.3,Desktop,Netflix,10,5
19,Female,Japan,6.8,Smartphone,TikTok,10,9
16,Female,USA,10.1,Smartphone,Khan Academy,4,6
18,Male,Germany,0.5,Laptop,WhatsApp,8,7
16,Non-binary,Mexico,5.1,Tablet,YouTube,9,4
18,Non-binary,Germany,4.7,Laptop,WhatsApp,3,3
14,Male,Indonesia,1.7,Laptop,Snapchat,10,5
16,Male,Canada,9.2,Tablet,Instagram,6,4
17,Non-binary,Brazil,6.3,Desktop,ChatGPT,6,5
13,Female,Japan,5.5,Desktop,Netflix,6,8
16,Non-binary,UK,8.5,Tablet,Roblox,10,9
17,Female,Mexico,2.6,TV,Snapchat,4,6
13,Female,Australia,7.4,TV,TikTok,5,10
15,Non-binary,USA,5.1,Tablet,Netflix,5,10
19,Female,Indonesia,4.1,Tablet,Snapchat,6,9
13,Non-binary,Germany,6.3,Tablet,Khan Academy,9,9
19,Female,Australia,1.6,Tablet,Roblox,6,8
18,Male,Japan,8.4,TV,Netflix,6,5
17,Male,USA,8.4,Tablet,Instagram,3,3
19,Female,USA,4.5,Tablet,Khan Academy,4,3
17,Male,Germany,0.5,Desktop,Netflix,6,7
19,Male,Germany,4.1,Tablet,Netflix,6,6
13,Male,India,5.6,Desktop,Netflix,10,3
14,Female,Japan,2.8,Smartphone,Discord,6,3
15,Non-binary,USA,6.3,TV,Instagram,7,4
13,Male,Mexico,3.5,TV,YouTube,3,5
13,Non-binary,Indonesia,5.9,Desktop,Snapchat,8,9
17,Non-binary,India,4.1,Tablet,Snapchat,10,6
13,Female,Indonesia,3.7,Smartphone,Discord,9,7
16,Female,Mexico,5.8,Desktop,Discord,9,3
16,Non-binary,Australia,9.1,Smartphone,Roblox,6,3
16,Male,Canada,4.4,Tablet,Roblox,4,7
15,Male,USA,6.6,TV,ChatGPT,6,4
14,Female,Indonesia,6.3,TV,WhatsApp,6,3
19,Female,Japan,2.4,Laptop,YouTube,8,9
19,Male,Japan,7.4,Laptop,WhatsApp,10,10
15,Non-binary,Brazil,4.0,Desktop,WhatsApp,4,4
16,Non-binary,USA,8.6,TV,Instagram,3,5
17,Non-binary,USA,6.7,Smartphone,YouTube,9,10
14,Non-binary,Mexico,7.5,TV,Instagram,9,9
13,Female,USA,3.8,Tablet,WhatsApp,8,8
17,Non-binary,UK,6.2,Laptop,Snapchat,6,8
17,Non-binary,Japan,4.0,Tablet,Instagram,5,10
13,Female,Australia,5.8,Laptop,Instagram,10,4
13,Female,Brazil,5.8,TV,Khan Academy,4,3
17,Female,Indonesia,6.4,Laptop,TikTok,8,6
15,Non-binary,India,7.1,TV,ChatGPT,7,8
17,Female,Japan,4.7,Desktop,WhatsApp,6,4
17,Male,USA,5.3,Tablet,ChatGPT,4,5
19,Non-binary,Indonesia,3.7,TV,Khan Academy,7,10
14,Male,India,6.9,Smartphone,ChatGPT,5,5
14,Female,India,0.5,Tablet,TikTok,3,5
17,Female,Australia,4.5,Desktop,TikTok,6,9
16,Female,Canada,3.8,Tablet,Snapchat,8,4
17,Male,UK,9.4,Laptop,Netflix,10,10
18,Female,USA,4.1,Desktop,Netflix,8,5
13,Female,Canada,5.8,TV,Discord,6,9
15,Male,India,3.5,Laptop,Roblox,8,6
13,Non-binary,Japan,3.2,Tablet,WhatsApp,3,7
13,Non-binary,Japan,9.8,TV,Netflix,3,7
15,Non-binary,India,9.5,TV,ChatGPT,10,10
14,Female,Mexico,4.8,Smartphone,YouTube,8,3
17,Non-binary,UK,5.1,Laptop,TikTok,9,4
13,Female,India,4.2,Tablet,TikTok,7,6
